Ano,Estado,emp,sit,setor,esp,dep,PL,lucros,gov_ca,gov_cf,gov_aud, maior_rem ,plr_rva,qde_empregados,desp_investimento,desp_pessoal,Dividendos,Subvenção,Subvenção (anterior),Reforço de Capital,Reforço de Capital (anterior),capital,link,indicio_dependencia,Nome_estado,REGIAO,gov,result_NA,Resultado para o Estado Acionista
2023,TO,AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS SA,ATIVA,FINANCEIRO,SOCIEDADE DE ECONOMIA MISTA,Não Dependente,31250801.86,-806034.17,SIM,SIM,SIM," R$ 198,465.44 ",Não,47,69210.00,2887346.71,0.00,0.00,0.00,10060362.17,1307847.10,51300919.58,,não,Tocantins,Norte,TRUE,FALSE,-10060362.17
2023,TO,COMPANHIA IMOBILIÁRIA DE PARTICIPAÇÕES INVESTIMENTOS E PARCERIAS DO ESTADO DO TOCANTINS  TOCANTINS PARCERIAS,ATIVA,HABITAÇÃO E URBANIZAÇÃO,SOCIEDADE DE ECONOMIA MISTA,Não Dependente,60061001.32,-7845565.44,SIM,SIM,SIM," R$ 296,444.44 ",Sim,78,13723.33,8766286.95,0.00,0.00,0.00,3908800.00,0.00,33888437.15,,não,Tocantins,Norte,TRUE,FALSE,-3908800.00
2023,SP,COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO,ATIVA,OUTROS,EMPRESA PÚBLICA,Dependente,79446649.74,-116331803.93,SIM,SIM,SIM," R$ 294,202.03 ",Não,1727,66886409.00,493090761.50,63877000.00,46815851.91,190608103.00,0.00,0.00,169576390.56,https://cetesb.sp.gov.br/balancos-patrimoniais,não,São Paulo,Sudeste,TRUE,FALSE,17061148.09
2023,SP,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SÃO PAULO,ATIVA,HABITAÇÃO E URBANIZAÇÃO,EMPRESA PÚBLICA,Não Dependente,11415473384.63,-504390037.53,SIM,SIM,SIM," R$ 380,913.68 ",Não,390,1948528927.00,93544203.84,0.00,0.00,0.00,875070147.00,992564840.00,17155349420.89,https://www.cdhu.sp.gov.br/documents/20143/37042/Balanço+Anual+CDHU+DOE+21+04+22.pdf/e8e85b3b-c7f9-4b44-cb1d-2e817a1229d2,não,São Paulo,Sudeste,TRUE,FALSE,-875070147.00
2023,SP,COMPANHIA PAULISTA DE PARCERIAS,ATIVA,GESTÃO DE ATIVOS,EMPRESA PÚBLICA,Não Dependente,1954371862.00,178375653.00,SIM,SIM,NÃO," R$ 385,400.50 ",Sim,9,0.00,4291438.00,18226481.00,0.00,0.00,0.00,0.00,1509619815.19,https://portal.fazenda.sp.gov.br/Institucional/Documents/CPP/DFs%2031%2012%202021%20com%20Relatorio%20Integrado.pdf,não,São Paulo,Sudeste,FALSE,FALSE,18226481.00
2023,SP,COMPANHIA PAULISTA DE SECURITIZAÇÃO,ATIVA,GESTÃO DE ATIVOS,EMPRESA PÚBLICA,Não Dependente,301379704.98,18366307.72,SIM,SIM,NÃO," R$ 257,742.97 ",Sim,3,0.00,528413.91,4330005.30,0.00,0.00,0.00,0.00,283012100.00,https://portal.fazenda.sp.gov.br/Institucional/Paginas/CPSEC/CPSEC.aspx,não,São Paulo,Sudeste,FALSE,FALSE,4330005.30
2023,SP,COMPANHIA PAULISTA DE TRENS METROPOLITANOS,ATIVA,TRANSPORTE,EMPRESA PÚBLICA,Dependente,10070235313.91,-432766889.91,SIM,SIM,SIM," R$ 344,935.21 ",Sim,6034,581237531.00,1079459178.00,0.00,962140766.70,1200969765.00,914165283.85,686415096.43,18269248866.51,https://www.cptm.sp.gov.br/esg-consciente/Governanca/BalancosDemonstrativos/Relat%C3%B3rio%20Integrado%20CPTM%202022.zip,não,São Paulo,Sudeste,TRUE,FALSE,-1876306050.57
2023,SP,COMPANHIA DOCAS DE SÃO SEBASTIÃO,ATIVA,PORTOS E HIDROVIAS,EMPRESA PÚBLICA,Dependente,198309830.00,-15958215.00,SIM,SIM,NÃO," R$ 315,323.61 ",Não,82,100080.94,22836681.27,0.00,10416149.00,9874602.00,92487.94,0.00,17738161.00,,não,São Paulo,Sudeste,FALSE,FALSE,-10508636.94
2023,SP,COMPANHIA DO METROPOLITANO DE SAO PAULO,ATIVA,TRANSPORTE,EMPRESA PÚBLICA,Não Dependente,35306452472.17,-1167147483.70,SIM,SIM,SIM," R$ 621,934.29 ",Não,7334,2352444975.00,1770412655.00,0.00,0.00,559169988.00,2382936931.92,1581279484.40,44611122735.33,https://governancacorporativa.metrosp.com.br/Documentos%20Compartilhados/CartaPoliticasPublicas.pdf,não,São Paulo,Sudeste,TRUE,FALSE,-2382936931.92
2023,SP,COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SÃO PAULO,ATIVA,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,EMPRESA PÚBLICA,Não Dependente,826630801.52,218008232.10,SIM,SIM,SIM," R$ 738,738.12 ",Não,1805,257937375.00,458005460.50,41620799.90,0.00,0.00,0.00,160352000.00,666490179.51,https://www.prodesp.sp.gov.br/institucional/governanca-corporativa/,não,São Paulo,Sudeste,TRUE,FALSE,41620799.90
